Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,gender Response,gender Quantised,age Value,parh1 Response,parh1 Quantised,parh2 Response,parh2 Quantised,parh3 Response,parh3 Quantised,parh4 Response,parh4 Quantised,hypothesis Value
1,1692034457479,14/08/2023 17:34:17,1692038057479,1,14/08/2023 19:34:17,139290,5,questionnaire-sxre,,31182359,BLIND,9244438,,complete,,64da72984cf38ed87d398640,computer,Desktop or Laptop,Windows 10,Avast Secure Browser 114.0.21608.199,1280x720,1280x569,,,0,demographics,4,Female,2,37,1,5,2,6,0,4,1,5,If the virtual reality becomes too realistic.
1,1692034476788,14/08/2023 17:34:36,1692038076788,1,14/08/2023 19:34:36,139290,5,questionnaire-sxre,,31182371,BLIND,9244472,,complete,,64da7305d431135e4d1b45e5,mobile,Apple iPhone,iOS 16.6,Mobile Safari 16.6,375x812,375x629,,,0,demographics,4,Female,2,32,1,5,-2,2,1,5,-2,2,how we think virtual reality woild make us feel with our own body
1,1692034478724,14/08/2023 17:34:38,1692038078724,1,14/08/2023 19:34:38,139290,5,questionnaire-sxre,,31182372,BLIND,9244461,,complete,,64da72ea7a9ce0b99bbbb10f,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1536x864,1536x715,,,0,demographics,4,Female,2,27,-3,1,3,7,-3,1,3,7,No clue
1,1692034478495,14/08/2023 17:34:38,1692038078495,1,14/08/2023 19:34:38,139290,5,questionnaire-sxre,,31182374,BLIND,9244485,,complete,,64da732aeb32887b81cb99aa,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.1,768x1024,768x921,,,0,demographics,4,Female,2,29,2,6,-2,2,2,6,-2,2,VR
1,1692034480137,14/08/2023 17:34:40,1692038080137,1,14/08/2023 19:34:40,139290,5,questionnaire-sxre,,31182375,BLIND,9244458,,complete,,64da72e54e6037dbc215b6c5,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1280x720,1280x571,,,0,demographics,4,Female,2,24,-3,1,3,7,-3,1,3,7,Something about feeling represented in virtual reality
1,1692034490400,14/08/2023 17:34:50,1692038090400,1,14/08/2023 19:34:50,139290,5,questionnaire-sxre,,31182380,BLIND,9244464,,complete,,64da72f0d56bd635ccc85b7d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 115.0.0.0,1536x864,1536x708,,,0,demographics,4,Female,2,18,-3,1,-3,1,-3,1,-3,1,"people feeling connected with their |""mirror image|"" ????"
1,1692052508446,14/08/2023 22:35:08,1692038108446,-4,14/08/2023 14:35:08,139290,5,questionnaire-sxre,,31182387,BLIND,9244480,,complete,,64da73161fe3b0e9da7d9c56,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1280x720,1280x563,,,0,demographics,4,Female,2,24,-1,3,1,5,1,5,-1,3,Tracking people's reactions to seeing a VR body mimic their body in real time.
1,1692034506029,14/08/2023 17:35:06,1692038106029,1,14/08/2023 19:35:06,139290,5,questionnaire-sxre,,31182391,BLIND,9244488,,complete,,64da732e5e5f66733c309351,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1440x715,,,0,demographics,4,Female,2,37,1,5,-1,3,1,5,-1,3,Body perceptions being 'tricked' by VR
1,1692034505455,14/08/2023 17:35:05,1692038105455,1,14/08/2023 19:35:05,139290,5,questionnaire-sxre,,31182392,BLIND,9244502,,complete,,64da735d2690752f249470a9,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1920x931,,,0,demographics,4,Female,2,42,-2,2,2,6,-2,2,2,6,I don't know
1,1692034515411,14/08/2023 17:35:15,1692038115411,1,14/08/2023 19:35:15,139290,5,questionnaire-sxre,,31182404,BLIND,9244423,,complete,,64da7223c7babbafa1616c8b,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.203,1920x1080,1865x961,,,0,demographics,4,Female,2,51,0,4,1,5,0,4,1,5,how we image ourselves visually
1,1692034525624,14/08/2023 17:35:25,1692038125624,1,14/08/2023 19:35:25,139290,5,questionnaire-sxre,,31182413,BLIND,9244493,,complete,,64da73360a989cb82dbc6068,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1280x800,1280x690,,,0,demographics,4,Female,2,50,0,4,0,4,0,4,0,4,Seeing how virtual reality makes people feel.
1,1692034526869,14/08/2023 17:35:26,1692038126869,1,14/08/2023 19:35:26,139290,5,questionnaire-sxre,,31182414,BLIND,9244487,,complete,,64da732f8519e32aa469c2a1,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1920x931,,,0,demographics,4,Female,2,42,3,7,-3,1,3,7,3,7,Humans experience with avatar in virtual reality
1,1692034537830,14/08/2023 17:35:37,1692038137830,1,14/08/2023 19:35:37,139290,5,questionnaire-sxre,,31182423,BLIND,9244420,,complete,,64da724ea7eb79475670eb90,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,768x1024,1024x665,,,0,demographics,4,Female,2,61,-3,1,-3,1,-3,1,3,7,i have no idea
1,1692034547422,14/08/2023 17:35:47,1692038147422,1,14/08/2023 19:35:47,139290,5,questionnaire-sxre,,31182438,BLIND,9244489,,complete,,64da732d15f01e964c70c7eb,mobile,undefined K,Android 10,Chrome 115.0.0.0,360x740,360x612,,,0,demographics,4,Female,2,37,0,4,-2,2,1,5,0,4,virtual reality 
1,1692034549589,14/08/2023 17:35:49,1692038149589,1,14/08/2023 19:35:49,139290,5,questionnaire-sxre,,31182440,BLIND,9244467,,complete,,64da72f468aacd925b2a72f1,mobile,undefined K,Android 10,Chrome 115.0.0.0,385x854,384x726,,,0,demographics,4,Female,2,33,0,4,0,4,-2,2,1,5,making the person feel like the avatar
1,1692034551742,14/08/2023 17:35:51,1692038151742,1,14/08/2023 19:35:51,139290,5,questionnaire-sxre,,31182446,BLIND,9244481,,complete,,64da73125b605e7374165596,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.203,1536x864,1536x746,,,0,demographics,4,Female,2,55,0,4,0,4,0,4,0,4,mimicking human movements for AI person
1,1692034564851,14/08/2023 17:36:04,1692038164851,1,14/08/2023 19:36:04,139290,5,questionnaire-sxre,,31182466,BLIND,9244452,,complete,,64da72b626ec91f93a70eb95,mobile,undefined K,Android 10,Chrome 115.0.0.0,393x873,393x732,,,0,demographics,4,Female,2,53,1,5,1,5,2,6,-1,3,body image
1,1692034566529,14/08/2023 17:36:06,1692038166529,1,14/08/2023 19:36:06,139290,5,questionnaire-sxre,,31182468,BLIND,9244495,,complete,,64da73364e6037dbc215b6d7,mobile,undefined K,Android 10,Chrome 115.0.0.0,412x892,412x755,,,0,demographics,4,Female,2,40,1,5,0,4,1,5,1,5,feeling different in someone elses body
1,1692034581037,14/08/2023 17:36:21,1692038181037,1,14/08/2023 19:36:21,139290,5,questionnaire-sxre,,31182477,BLIND,9244494,,complete,,64da731aa05423c7ae323ca0,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,768x1024,768x918,,,0,demographics,4,Female,2,50,3,7,0,4,2,6,0,4,show how a virual image of tourself can move like it was your body 
1,1692052582558,14/08/2023 22:36:22,1692038182558,-4,14/08/2023 14:36:22,139290,5,questionnaire-sxre,,31182479,BLIND,9244518,,complete,,64da7362533d231dad9886eb,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1536x864,1536x787,,,0,demographics,4,Female,2,43,-3,1,3,7,0,4,0,4,body image
