"","id","cause","heard","prev","q1","q2","q3","q4","q5","q6","condition","gender","age","parh1","parh2","parh3","parh4","hypothesis","design"
"183","9244332","To link themselves to the avatar on the screen and to try out what will happen when they mov etc.","2","2","1","-2","-1","1","1","1","sync","2","39","5","3","5","3","Whether the different experiments affected whether a person identified with the virtual boy e.g. di they feel more connected if their actions were synced with those on screen.","Within"
"184","9244341","I think you are supposed to link your mind and the virtual body - to feel like it IS your body.","2","2","3","3","1","3","3","3","sync","2","27","6","3","6","3","How real virtual bodies can feel.","Within"
"185","9244343","Lack of one's body ownership","2","2","2","3","0","0","1","1","sync","2","31","3","5","3","5","to research experience of virtual reality, how disconnect from controling your body affects feeling","Within"
"186","9244349","The participant to inmerse in the virtual reality","2","2","1","1","2","2","3","0","sync","2","36","3","7","3","6","Virtual reality perception","Within"
"187","9244338","A life outside of her own.","2","2","2","2","1","1","2","1","sync","2","44","4","4","5","3","virtual reality","Within"
"188","9245071","It is supposed to make people feel immersed in the vr and trick their brain into thinking the virtual body is theirs.","2","2","1","1","1","1","1","1","sync","2","22","4","6","2","6","I have no idea.","Within"
"189","9245088","I think this procedure is to make the experience feel more lifelike. By seeing the reflection it feels more like your own body.","2","2","2","1","1","3","-1","-1","sync","2","36","3","5","3","5","How VR experiences can change depending on movement control.","Within"
"190","9245158","In my opinion the video shown is an example alhow virtual and augmented reality works in order to provide a realistic experience to the user","2","2","2","2","1","2","1","0","sync","2","55","7","5","5","5","Augmented and virtual reality","Within"
"191","9245278","An experience in a new environment and in a new body.","2","2","1","2","-1","3","3","2","sync","2","33","4","5","4","4","Understanding virtual reality","Within"
"192","9245357","It is supposed to cause the participant to experience a connection with the virtual avatar.","2","2","-3","-3","-2","-2","2","-3","sync","1","32","4","4","5","4","Responses to synchronous and asynchronous","Within"
"193","9245724","presumably to get the participant to identify with the avatar","2","2","-3","-3","-3","-3","1","-3","sync","2","29","6","2","6","6","sense of identification with virtual avatars","Within"
"194","9247098","I think the participant is supposed to feel detached from their real body and feel more in touch with the VR version of their body.","2","2","2","-2","2","2","2","1","sync","1","26","5","5","4","4","How similar we feel to a VR version of ourselves when we can no longer visualise our own bodies.","Within"
"195","9247179","The procedure is supposed to make the person feel like thy are in another world, and can be a whole new person.","2","2","2","2","0","2","1","2","sync","2","25","2","7","1","7","How people view the differences on how they relate with avatars based on how they can interact with them in vr","Within"
"196","9247264","They experience seeing their body completly move as they are","2","2","1","2","3","2","3","-2","sync","2","37","4","3","3","3","Perveption","Within"
"197","9247311","The procedure is supposed to cause relaxation.","2","2","1","2","-2","2","2","1","sync","1","21","1","7","1","7","How VR impacts bodily perceptions/sensations","Within"
"198","9247711","I expect this procedure is supposed to create a ""bond"" between the user and their new body in virtual reality.","2","2","2","-2","-3","-1","1","1","sync","2","24","3","5","4","6","How looking into a mirror in virtual reality influences one's perception of the self.","Within"
"199","9250782","copy the body movements through virtual reality. Using the limbs react with the avatar.","2","2","2","2","-1","1","3","3","sync","1","52","6","3","5","3","i enjoyed. it was different to others i do.","Within"
"200","9252192","My first thought is that the procedure was supposed to cause a form of dissassociation between the participant and their body.","2","2","2","2","1","2","3","2","sync","2","37","4","3","6","3","Whether or not if a person put themselves into a virtual mental space if synchronous or asynchronous movement would lead to disassociation.","Within"
"201","9283962","I think it would feel very bizarre that an avatar can do exactly the same.","2","2","3","1","3","0","2","3","sync","2","65","4","4","4","4","how you felt when facing your avatar","Within"
"202","9245768","participant expected to see themselves in VR","2","2","2","2","3","1","2","2","sync","2","29","7","2","7","1","VR impact on human experience","Within"
"203","9245513","familiarise participants with their new virtual body","2","2","-1","1","1","1","2","-1","sync","2","35","2","6","2","6","honestly not sure","Within"
"204","9245323","identification between the real body and the virtual one","2","2","-1","1","-3","2","3","0","sync","2","40","5","3","6","3","identification or lack thereof between virtual and real bodies","Within"
"205","9244930","I think the procedure will either trick the brain into thinking that the virtual reality body is genuinely the real body, or that the brain will reject the virtual reality body and the participant won't feel at one with it.","2","2","1","1","0","1","1","1","sync","2","24","3","5","3","5","Not sure","Within"
"206","9244875","To create the illusion that the virtual body is one's own. This is in order to enhance the feeling of immersion.","2","2","2","3","2","1","3","3","sync","2","60","2","5","6","4","VR immersion and simulated body / consciousness relocation?","Within"
"207","9244262","seeing how they move from a different perspective","2","2","-1","1","1","1","1","1","async","2","64","4","5","4","4","connection between reality and virtual reality","Within"
"208","9244286","to see how they move when using the VR","2","2","1","1","0","1","0","1","async","2","31","3","5","3","4","body movement","Within"
"209","9244302","an out of body experinence.","2","2","1","-1","0","0","-1","1","async","2","39","4","5","4","5","virtual reality","Within"
"210","9244316","Expected to feel like their body is also moving despite being still in real life","2","2","1","-2","-3","2","-1","0","async","2","20","4","5","4","4","how virtual reality can affect your perception of movemeng","Within"
"211","9244328","It would make them feel like their body is not their, like they are disconnected from it.","2","2","1","-3","0","1","-1","2","async","2","36","3","6","2","3","Maybe it was about helping people who have lost limbs relieve phantom limb pains.","Within"
"212","9244546","I think the procedure is some sort of physiotherapy that is supposed to make the participant feel more connected to thier bodies and limbs.","2","2","0","-2","-3","-1","2","-2","async","4","23","3","3","2","2","I'm not too sure really.","Within"
"213","9245300","trick the brain into believing virtual sensations are real sensations","2","2","2","1","-2","1","1","1","async","2","39","3","6","4","5","?","Within"
"214","9248036","A sense of incongruency between their real and virtual bodies.","2","2","-1","-1","-2","-2","-3","-1","async","3","27","3","6","2","6","I'm not sure. Maybe about the effects that prolonged exposure to virtual environments can have on our self-perception.","Within"
"215","9248321","This procedure is supposed to cause a disorientating feeling, feeling mismatched from your body.","2","2","-1","-1","-3","-1","-1","-2","async","2","20","3","5","3","5","I'm not sure! Maybe it's as simple as how people imagine perception in virtual reality, but that seems too obvious.","Within"
"216","9284034","seeing the vr version of themselves move independently","2","2","-2","-2","-1","0","1","-1","async","2","38","6","2","5","3","the correlation between reality and virtual reality","Within"
"217","9252170","Familiarity with the gestalt.","2","2","3","3","3","3","3","3","async","4","33","2","4","2","6","No clue","Within"
"218","9251412","Feeling of loss of control","2","2","1","-2","1","2","-1","-1","async","2","32","5","3","5","4","Body ownership","Within"
"219","9247725","Body dysphoria","2","2","-3","-3","-1","-2","-3","-2","async","4","23","1","7","1","7","Detecting how people feel about virtual reality when it tracks your movements?","Within"
"220","9247452","the participant should experience as if they are actually in the virutal reality. this is as their VR body is doing the same as theirs.","2","2","1","1","2","-1","1","-2","async","2","23","3","5","5","7","not a clue","Within"
"221","9247245","real life movement","2","2","-3","2","1","1","3","-3","async","2","37","2","6","2","2","how vr affects people","Within"
"222","9247030","a disconext from the body not moving at the same time as they expect it to","2","2","2","1","2","2","-1","-1","async","2","30","1","7","4","4","the effects of vr, and time delay on our perception of self","Within"
"223","9245759","I think it is supposed to immerse those in their own exercises.","2","2","-3","1","-3","-3","-3","-3","async","2","24","3","5","5","1","Seeing how we perceive ourselves in VR","Within"
"224","9245556","When the person does it in the real it should also reflet that virtual body at the same time move arm avtar should move arm at same time","2","2","0","3","3","3","3","3","async","3","51","6","6","6","3","see how you felf about virtral reality and you being there","Within"
"225","9245376","an out of body experience","2","2","1","1","-2","-2","-2","-1","async","2","33","4","4","4","4","what people thought about virtual reality people","Within"
"226","9245169","Confusion as the body moved independently","2","2","-1","1","-1","1","-2","1","async","2","51","3","5","3","5","How you think you would feel in each of the situations","Within"
"227","9245167","they are supposed to relate to the avatar as themselves.","2","2","-3","0","-2","1","2","1","async","2","30","5","2","4","2","what people think about using this tech","Within"
"228","9245039","Whether people feel that they are actually their avatar","2","2","-3","-2","-2","-2","-2","-2","async","2","38","1","6","4","6","Whether people can imagine how they'd feel when inserted into a virtual reality situation under different circumstances of control","Within"
"229","9244892","the participation is supposed to feel detached from their body maybe?","2","2","-3","-3","-3","2","1","-3","async","2","32","1","6","2","6","effects of VR on our perception?","Within"
"230","9244309","engagement with their virtual self - sense of curiosity that they don't usually feel about themselves","2","2","2","1","1","1","2","1","async","2","51","3","5","3","5","best guess is that perhaps my own imagination would be improved after seeing the synchronus video and my answers would be affected accordingly","Within"
"231","9244284","I think they are ment to experience the new technology and how it performs and makes the other person feel","2","2","2","3","2","2","2","1","async","2","29","6","2","6","2","To see how people feel about ai","Within"
"232","9244281","experience what it is like to be in another persons body that you control","2","2","3","3","3","2","3","3","async","2","28","7","6","7","1","making robots","Within"
"233","9244271","The participants are probably feeling weird as to how a character is following their movements","2","2","1","1","1","1","-2","1","async","2","21","7","2","6","2","The study was about how technology can manipulate the mind by having a virtual reality space in which people might correlate and connect to compared to real life.","Within"
"234","9244233","This wasn't the video I saw. The video I was presented with was the virtual body making its own movements without the participant moving at all.","2","2","-3","-3","-3","-2","-2","-3","async","2","31","2","6","2","6","Unsure.","Within"
"235","9244257","Not connected, like watching someone else","2","2","-3","-3","-3","-3","-3","-3","async","2","51","4","5","3","5","I'm not too sure!","Within"
"236","9244266","to show how alike and accurate the movements are","2","2","3","3","3","3","3","3","async","2","34","5","4","4","4","to see how many people have used virtual reality?","Within"
"237","9244278","Like they had a body double which they were unable to control","2","2","1","1","1","1","-3","-3","async","2","32","2","5","4","5","Body dysmorphia","Within"
"238","9244276","To see how there body looks and moves in virtual reality, they are able to concentrate more as they are not moving.","2","2","2","1","3","1","-1","-2","async","2","38","2","4","4","5","Im not sure. Virtual reality of some sort.","Within"
"239","9244280","feel uncomfortable","2","2","-2","-3","-1","0","-3","-3","async","2","30","1","6","3","6","no idea","Within"
"240","9244290","They were probably expecting that their arms would move in time as their real arms, and were probably surprised when this did not happen.","2","2","-2","-2","-1","-1","-3","-1","async","2","23","3","5","3","5","How virtual reality tracks movement","Within"
"241","9244287","i think it is meant to make it feel like the participant is moving even if they are not","2","2","-1","-1","1","1","-2","1","async","2","23","5","3","5","3","i think it was about how a persons body feels during a virtual reality","Within"
"242","9244260","i dont think the participant is supposed to experience much as they would not be immersed in the environment therefore it would be like watching something happen rather than actually experiencing it/ having reality blurred e.g. you would not expect to experience the sensation of touching a mirror as you're not actually doing it.","2","2","-2","-3","0","-3","-3","-3","async","2","20","3","3","3","4","whether virtual reality could induce real life sensations e.g. if the character touched the mirror, whether you would get that sensation","Within"
"243","9244282","I'm not entirely sure.","2","2","-2","-2","-1","-2","-2","-2","async","2","63","1","7","1","7","no idea","Within"
"244","9244315","A feeling that you are out of control, they may feel claustrophobic and trapped if they can see the body moving and can move their head and view but can't control what the body is doing","2","2","-3","-2","-3","-2","-2","-3","async","2","30","1","7","1","7","No idea","Within"
"245","9244341","I think it is to see if the person moves to match the virtual person.","2","2","-1","-2","-2","-1","-2","-1","async","2","27","6","3","6","3","How real virtual bodies can feel.","Within"
"246","9244332","to see if they relate to the virtual body when it moves independently of their moves.","2","2","-3","-3","-2","-3","-3","-2","async","2","39","5","3","5","3","Whether the different experiments affected whether a person identified with the virtual boy e.g. di they feel more connected if their actions were synced with those on screen.","Within"
"247","9244343","out of body experience, dual identity","2","2","-1","-3","-3","-1","-3","-2","async","2","31","3","5","3","5","to research experience of virtual reality, how disconnect from controling your body affects feeling","Within"
"248","9244338","a life outside her own.","2","2","2","2","2","2","2","1","async","2","44","4","4","5","3","virtual reality","Within"
"249","9244875","The participant expereinces a thrid person view and feel. Like they're watching someone else play a game but have no involvement themeselves.","2","2","-3","-1","-1","1","-3","1","async","2","60","2","5","6","4","VR immersion and simulated body / consciousness relocation?","Within"
"250","9244930","I think that the participant won't feel connected with the body at all, it'll be like watching a film.","2","2","-3","-3","-2","-3","-3","-3","async","2","24","3","5","3","5","Not sure","Within"
"251","9245088","With the image moving independently I think this would cause separation between the user and the experience.","2","2","-3","-2","-3","-2","-3","-3","async","2","36","3","5","3","5","How VR experiences can change depending on movement control.","Within"
"252","9245278","To show the extent of the virtual reality headset","2","2","2","1","0","2","2","3","async","2","33","4","5","4","4","Understanding virtual reality","Within"
"253","9245513","to feel like the virtual person is not them.","2","2","-2","-2","-2","-2","-2","-2","async","2","35","2","6","2","6","honestly not sure","Within"
"254","9245768","Participant did not know what VR DOING","2","2","-3","-3","-3","-1","-3","0","async","2","29","7","2","7","1","VR impact on human experience","Within"
"255","9247179","How people feel seeing avatars that don't represent themselves.","2","2","-3","-2","-3","-2","-2","-3","async","2","25","2","7","1","7","How people view the differences on how they relate with avatars based on how they can interact with them in vr","Within"
"256","9247264","Virtual body moving without their physical body","2","2","1","1","3","2","-1","0","async","2","37","4","3","3","3","Perveption","Within"
"257","9247311","The procedure is supposed to cause a clear headspace.","2","2","-2","1","-3","-2","2","0","async","1","21","1","7","1","7","How VR impacts bodily perceptions/sensations","Within"
"258","9252192","This procedure would definitely cause a form is disassociation between the participant and the virtual body.","2","2","-3","-3","-3","-3","-3","-3","async","2","37","4","3","6","3","Whether or not if a person put themselves into a virtual mental space if synchronous or asynchronous movement would lead to disassociation.","Within"
"259","9283962","amazement and bizarre at the same time","2","2","3","0","3","3","3","3","async","2","65","4","4","4","4","how you felt when facing your avatar","Within"
"260","9250782","body react with the avatar.","2","2","1","2","0","2","2","2","async","1","52","6","3","5","3","i enjoyed. it was different to others i do.","Within"
"261","9247711","To see if there becomes a ""disconnect"" from one's body, if they can see ""themselves"" in a mirror moving independent of their ""real"" body.","2","2","2","-2","-1","1","-3","1","async","2","24","3","5","4","6","How looking into a mirror in virtual reality influences one's perception of the self.","Within"
"262","9247098","The participant is meant to feel detached from their own body, but less as though they have become the VR version. There's more separation between the participant and VR in this second experiment.","2","2","1","-2","1","1","0","-1","async","1","26","5","5","4","4","How similar we feel to a VR version of ourselves when we can no longer visualise our own bodies.","Within"
"263","9245724","to cause a sense of identification with the avatar","2","2","-3","-3","-3","-3","-3","-3","async","2","29","6","2","6","6","sense of identification with virtual avatars","Within"
"264","9245357","Cause the participant to not feel connected with the virtual avatar.","2","2","-3","-3","-1","-3","-3","-3","async","1","32","4","4","5","4","Responses to synchronous and asynchronous","Within"
"265","9245323","a sense of dissonance when you see what appears to be a mirror moving independently","2","2","-3","-2","-3","-1","-2","-2","async","2","40","5","3","6","3","identification or lack thereof between virtual and real bodies","Within"
"266","9245158","The video shown a similar experience that was shown on the previous video. Once again it is meant to provide a near real experience through augmented and virtual reality","2","2","1","2","1","2","2","2","async","2","55","7","5","5","5","Augmented and virtual reality","Within"
"267","9245071","To immerse them in the experience.","2","2","1","1","1","1","1","1","async","2","22","4","6","2","6","I have no idea.","Within"
"268","9244349","Seeing someone else on the mirror","2","2","-3","-2","-1","0","-3","-3","async","2","36","3","7","3","6","Virtual reality perception","Within"
"269","9244237","this is not what i saw in the video, the avatar was moving independently.","2","2","-3","-2","-2","-2","-3","-2","async","2","57","3","6","2","6","i wondered if it was for nhs physio support","Within"
"270","9244247","A feeling that the participant is controlling the body that they see","2","2","1","3","2","3","3","3","async","2","49","3","7","1","7","I have no idea","Within"
